target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native32@C4,native32,c4,global_mean,2,both_fists,0.6904761904761905,0.6476190476190476,0.042857142857142816
native32@C4,native32,c4,global_mean,3,both_feet,0.41545893719806765,0.5072463768115942,0.09178743961352659
native32@C4,native32,c4,pooled_bias,0,left_fist,0.46190476190476193,0.5238095238095238,0.06190476190476191
native32@C4,native32,c4,pooled_bias,1,right_fist,0.4830917874396135,0.3188405797101449,0.1642512077294686
native32@C4,native32,c4,pooled_bias,2,both_fists,0.6904761904761905,0.6666666666666666,0.023809523809523836
native32@C4,native32,c4,pooled_bias,3,both_feet,0.41545893719806765,0.5024154589371981,0.08695652173913043
native32@C4,native32,c4,topology_ridge,0,left_fist,0.46190476190476193,0.5047619047619047,0.042857142857142816
native32@C4,native32,c4,topology_ridge,1,right_fist,0.4830917874396135,0.3719806763285024,0.1111111111111111
native32@C4,native32,c4,topology_ridge,2,both_fists,0.6904761904761905,0.6904761904761905,0.0
native32@C4,native32,c4,topology_ridge,3,both_feet,0.41545893719806765,0.42028985507246375,0.004830917874396101
native32@C4,native32,c4,logit_ridge,0,left_fist,0.46190476190476193,0.46190476190476193,0.0
native32@C4,native32,c4,logit_ridge,1,right_fist,0.4830917874396135,0.42995169082125606,0.053140096618357446
native32@C4,native32,c4,logit_ridge,2,both_fists,0.6904761904761905,0.680952380952381,0.00952380952380949
native32@C4,native32,c4,logit_ridge,3,both_feet,0.41545893719806765,0.4251207729468599,0.009661835748792258
native32@C4,native32,c4,combined_ridge,0,left_fist,0.46190476190476193,0.4714285714285714,0.00952380952380949
native32@C4,native32,c4,combined_ridge,1,right_fist,0.4830917874396135,0.4251207729468599,0.0579710144927536
native32@C4,native32,c4,combined_ridge,2,both_fists,0.6904761904761905,0.6904761904761905,0.0
native32@C4,native32,c4,combined_ridge,3,both_feet,0.41545893719806765,0.42028985507246375,0.004830917874396101
native32@C4,native32,c4,oracle,0,left_fist,0.46190476190476193,0.4666666666666667,0.004761904761904745
native32@C4,native32,c4,oracle,1,right_fist,0.4830917874396135,0.42995169082125606,0.053140096618357446
native32@C4,native32,c4,oracle,2,both_fists,0.6904761904761905,0.6857142857142857,0.004761904761904745
native32@C4,native32,c4,oracle,3,both_feet,0.41545893719806765,0.4106280193236715,0.004830917874396157
native32@C5,native32,c5,identity,0,left_fist,0.680952380952381,0.3904761904761905,0.2904761904761905
native32@C5,native32,c5,identity,1,right_fist,0.5748792270531401,0.6183574879227053,0.04347826086956519
native32@C5,native32,c5,identity,2,both_fists,0.23809523809523808,0.2619047619047619,0.023809523809523836
native32@C5,native32,c5,identity,3,both_feet,0.3526570048309179,0.5652173913043478,0.2125603864734299
native32@C5,native32,c5,global_mean,0,left_fist,0.46190476190476193,0.22380952380952382,0.2380952380952381
native32@C5,native32,c5,global_mean,1,right_fist,0.4830917874396135,0.42028985507246375,0.06280193236714976
native32@C5,native32,c5,global_mean,2,both_fists,0.6904761904761905,0.7904761904761904,0.09999999999999998
native32@C5,native32,c5,global_mean,3,both_feet,0.41545893719806765,0.45893719806763283,0.04347826086956519
native32@C5,native32,c5,pooled_bias,0,left_fist,0.46190476190476193,0.21428571428571427,0.24761904761904766
